Spiller-Id,Navn,All Clubs,Current Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
100002,David Gustafsson,Asker,Asker,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100003,Helene Abusdal,Kristiansand,Kristiansand,3096.0,1708.0,2904.0,2268.0,2160.0,1060.0,908.0,604.0,727.0,1101.0,212.0,341.0
100010,Jim Ronny Andersen,Kristiansand,Kristiansand,1864.0,1412.0,3204.0,1092.0,1224.0,779.0,533.0,512.0,711.0,389.0,40.0,64.0
100014,Geir Arnevik,Grimstad,Grimstad,121.0,67.0,64.0,130.0,102.0,148.0,46.0,0.0,23.0,0.0,15.0,14.0
100016,Stian Askerød,Frogner,Frogner,198.0,172.0,35.0,162.0,48.0,161.0,120.0,14.0,196.0,266.0,226.0,166.0
100021,Truls Barth Nilsen,Sandefjord,Sandefjord,336.0,0.0,56.0,148.0,65.0,28.0,56.0,0.0,14.0,0.0,0.0,0.0
100022,Cecilie Welle Bay,Ålesund,Ålesund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100027,Terje Berger,Bergen,Bergen,16.0,20.0,118.0,45.0,0.0,55.0,23.0,0.0,6.0,0.0,0.0,0.0
100029,Sverre Bergland sr,Bygdø,Bygdø,436.0,656.0,439.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100030,Kari H. Berntsen,Bygdø,Bygdø,536.0,354.0,166.0,126.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100032,Sven Bjerkan,Bergen,Bergen,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100034,Odd Magnus Bjerkvik,Bygdø,Bygdø,16.0,0.0,0.0,9.0,86.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
100036,Marius Myhre,Haugerud|Sandefjord,Sandefjord,4048.0,3945.0,3648.0,2592.0,2096.0,2512.0,136.0,313.0,304.0,0.0,148.0,244.0
100038,Ole Christoffer Olsen,Bodø|Flatås|Herøy,Flatås,18.0,0.0,0.0,27.0,120.0,117.0,96.0,0.0,71.0,282.0,300.0,236.0
100041,Wenche Brinchmann,Moss,Moss,36.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,3.0,18.0,22.0,0.0
100045,Kari Bunes,Moss,Moss,18.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100049,Bård Vegard Bævre,Klæbu,Klæbu,52.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
100058,Borgar Sandbu,Fron,Fron,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100065,Pål Dahlsveen,Frogner,Frogner,6.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
100069,Erik Wåland,Tromsø,Tromsø,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100084,Rune Oterhals,NTNUI|Trondheim,Trondheim,480.0,404.0,492.0,288.0,302.0,420.0,300.0,74.0,253.0,358.0,105.0,186.0
100092,Anita Elson,Kristiansand,Kristiansand,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100097,Terese Owesen,Frogner|Bærum,Bærum,104.0,365.0,386.0,198.0,68.0,84.0,0.0,0.0,42.0,0.0,0.0,0.0
100113,Gunn Fiskergaard,Ålesund,Ålesund,466.0,442.0,410.0,312.0,223.0,260.0,146.0,32.0,314.0,268.0,322.0,362.0
100115,Nikolai Svensson,Frogner|Moss,Moss,2840.0,1400.0,452.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0
100128,Torleif Formo,Gullvikmoen|Grong,Gullvikmoen,24.0,30.0,30.0,144.0,62.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
100139,Per Ivar Furholm,Norborg,Norborg,362.0,276.0,308.0,90.0,110.0,0.0,41.0,0.0,132.0,165.0,184.0,111.0
100140,Emil Pettersen,Gullvikmoen|NTNUI|Herøy,Herøy,100.0,34.0,33.0,53.0,32.0,107.0,88.0,0.0,39.0,112.0,58.0,62.0
100143,Noralf Gamlem,Norborg,Norborg,392.0,243.0,412.0,156.0,105.0,159.0,36.0,0.0,206.0,201.0,268.0,310.0
100156,Linn Grenby,Sotra,Sotra,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100158,Britt Grindland,Grimstad,Grimstad,220.0,210.0,160.0,270.0,254.0,198.0,86.0,0.0,97.0,50.0,61.0,54.0
100159,Ellen Groos,Grimstad,Grimstad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100168,Kirsten Gulbrandsen,Vestre Aker,Vestre Aker,22.0,204.0,170.0,126.0,131.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
100169,Randi Gulbrandsen,Slagen,Slagen,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100170,Tone Gulbrandsen,Jarlsberg,Jarlsberg,30.0,62.0,210.0,216.0,224.0,95.0,20.0,0.0,5.0,0.0,0.0,0.0
100172,Jon Eirik Gulli,Slagen|Bærum,Slagen,42.0,14.0,246.0,258.0,159.0,105.0,21.0,0.0,39.0,119.0,0.0,0.0
100173,Andre Gulliksen,Jarlsberg,Jarlsberg,26.0,12.0,12.0,0.0,0.0,0.0,20.0,0.0,13.0,6.0,0.0,0.0
100175,Maria Jiangli Stenrud,Frogner,Frogner,722.0,0.0,122.0,164.0,96.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
100182,Sigrid Elise Sund,Hamar,Hamar,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100185,Nils Rolf Haga,Stavanger,Stavanger,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100189,Sigve Hallager,Grong,Grong,186.0,402.0,496.0,482.0,346.0,8.0,62.0,0.0,151.0,398.0,436.0,412.0
100193,Monica Halvorsen,Frogner,Frogner,168.0,452.0,0.0,0.0,0.0,588.0,274.0,0.0,135.0,495.0,275.0,105.0
100194,Bjørn Hamang,Bærum,Bærum,638.0,494.0,594.0,427.0,486.0,280.0,264.0,208.0,314.0,214.0,88.0,126.0
100200,Helge Hansen,Kolvereid,Kolvereid,60.0,29.0,8.0,26.0,11.0,43.0,28.0,6.0,28.0,39.0,50.0,45.0
100204,Cathrine Fossmo,Moss,Moss,1100.0,1792.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100216,Roger Haugstulen,Pillarguri,Pillarguri,20.0,0.0,0.0,0.0,0.0,28.0,24.0,0.0,45.0,46.0,298.0,298.0
