Spiller-Id,Navn,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
100002,David Gustafsson,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100010,Jim Ronny Andersen,424.0,348.0,580.0,436.0,476.0,436.0,393.0,192.0,190.0,0.0,0.0
100016,Stian Askerød,56.0,58.0,18.0,76.0,16.0,76.0,58.0,6.0,84.0,112.0,98.0
100021,Truls Barth Nilsen,248.0,0.0,56.0,122.0,65.0,28.0,56.0,0.0,14.0,0.0,0.0
100027,Terje Berger,16.0,8.0,72.0,20.0,0.0,28.0,10.0,0.0,4.0,0.0,0.0
100029,Sverre Bergland sr,240.0,436.0,308.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100032,Sven Bjerkan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100036,Marius Myhre,1104.0,745.0,384.0,640.0,512.0,744.0,0.0,256.0,156.0,0.0,80.0
100038,Ole Christoffer Olsen,6.0,0.0,0.0,12.0,42.0,56.0,48.0,0.0,30.0,94.0,122.0
100049,Bård Vegard Bævre,44.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
100058,Borgar Sandbu,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100065,Pål Dahlsveen,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
100069,Erik Wåland,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100084,Rune Oterhals,134.0,166.0,200.0,114.0,168.0,186.0,138.0,18.0,84.0,200.0,62.0
100113,Gunn Fiskergaard,18.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0
100115,Nikolai Svensson,1448.0,704.0,246.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
100128,Torleif Formo,12.0,6.0,6.0,6.0,20.0,92.0,0.0,0.0,0.0,0.0,0.0
100139,Per Ivar Furholm,164.0,110.0,152.0,54.0,62.0,0.0,28.0,0.0,88.0,92.0,100.0
100140,Emil Pettersen,44.0,16.0,11.0,26.0,12.0,58.0,42.0,0.0,19.0,32.0,22.0
100143,Noralf Gamlem,152.0,108.0,132.0,54.0,56.0,70.0,28.0,0.0,74.0,112.0,110.0
