Spiller-Id,Navn,All Clubs,Current Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
100003,Helene Abusdal,Kristiansand,Kristiansand,1176.0,136.0,776.0,1300.0,1172.0,504.0,476.0,284.0,341.0,504.0,24.0
100022,Cecilie Welle Bay,Ålesund,Ålesund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100041,Wenche Brinchmann,Moss,Moss,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
100045,Kari Bunes,Moss,Moss,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100092,Anita Elson,Kristiansand,Kristiansand,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100113,Gunn Fiskergaard,Ålesund,Ålesund,168.0,216.0,200.0,150.0,112.0,116.0,64.0,12.0,118.0,106.0,118.0
100156,Linn Grenby,Sotra,Sotra,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100158,Britt Grindland,Grimstad,Grimstad,84.0,102.0,44.0,68.0,78.0,70.0,26.0,0.0,42.0,36.0,34.0
100159,Ellen Groos,Grimstad,Grimstad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100169,Randi Gulbrandsen,Slagen,Slagen,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100175,Maria Jiangli Stenrud,Frogner,Frogner,202.0,0.0,42.0,52.0,36.0,26.0,0.0,0.0,0.0,0.0,0.0
100182,Sigrid Elise Sund,Hamar,Hamar,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100193,Monica Halvorsen,Frogner,Frogner,28.0,0.0,0.0,0.0,0.0,76.0,98.0,0.0,31.0,18.0,55.0
100204,Cathrine Fossmo,Moss,Moss,944.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100341,Maren Kamlund,Bergen,Bergen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100357,Sophie Owen-Davies,Frogner,Frogner,216.0,472.0,96.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100373,Hanna B. Kværnø,Grong,Grong,52.0,176.0,156.0,100.0,56.0,44.0,34.0,0.0,8.0,28.0,28.0
100437,Inger Margrethe Midtlid,Ålesund,Ålesund,48.0,84.0,14.0,34.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0
100485,Lisbeth Nilsen,Frogner,Frogner,24.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100499,Helene Norland,Asker,Asker,168.0,107.0,0.0,117.0,136.0,24.0,18.0,0.0,4.0,0.0,0.0
100553,Jorunn Rasmussen,Grimstad,Grimstad,160.0,70.0,50.0,112.0,126.0,8.0,24.0,0.0,6.0,0.0,0.0
100612,Anne Skien,Ullevål,Ullevål,67.0,30.0,48.0,0.0,0.0,2.0,17.0,0.0,4.0,0.0,0.0
100619,Anne Skjævesland,Sola,Sola,60.0,16.0,10.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0
100624,Solfrid Slettebakken,Kragerø,Kragerø,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100628,Sissel W. Schmidt,Ålesund,Ålesund,24.0,26.0,80.0,14.0,0.0,14.0,21.0,0.0,5.0,12.0,12.0
100643,Bente Sotnes,Bærum,Bærum,28.0,0.0,68.0,84.0,58.0,23.0,0.0,0.0,52.0,126.0,96.0
100681,Jeanette Svendsen,Vestre Aker,Vestre Aker,92.0,57.0,372.0,280.0,216.0,54.0,115.0,0.0,92.0,54.0,18.0
100717,Berit Thyness,Haugerud,Haugerud,344.0,356.0,149.0,220.0,348.0,232.0,156.0,0.0,175.0,192.0,222.0
100772,Åsne Lund,Grong,Grong,72.0,24.0,62.0,60.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
100805,Tone Rasmussen Økland,Askøy,Askøy,114.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,14.0,0.0,0.0
100862,Anne Klyve,Asker,Asker,312.0,64.0,132.0,512.0,152.0,140.0,24.0,0.0,250.0,52.0,12.0
100899,Randi Ulla Nogva,Norborg,Norborg,38.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100900,Christiane Dahl Nielsen,Stavanger,Stavanger,272.0,254.0,280.0,300.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
100928,Signe Petra Morvik,Bergen,Bergen,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100947,Toril Staldvik,Frogner,Frogner,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100989,Ida C. Pedersen,Moss,Moss,50.0,116.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101040,Anne Gro Rikheim,Frogner,Frogner,32.0,15.0,70.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
101065,Marie Wåland,Kristiansand,Kristiansand,192.0,176.0,48.0,256.0,112.0,105.0,72.0,224.0,366.0,0.0,0.0
101080,Elisabeth Thrane,NTNUI|Trondheim,NTNUI,220.0,0.0,184.0,0.0,7.0,0.0,0.0,0.0,42.0,0.0,0.0
101107,Camilla Christine Sørensen,Djerv,Djerv,8.0,7.0,44.0,22.0,0.0,22.0,24.0,0.0,6.0,0.0,0.0
101142,Gunnhild Bøyum,Frogner,Frogner,12.0,28.0,25.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101148,Svenja Tyrhardt,Karmøy,Karmøy,226.0,232.0,121.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0
101149,Marit Ulmo,Sandefjord,Sandefjord,272.0,144.0,696.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
101190,Mari Helene Bøe,Sandefjord,Sandefjord,200.0,80.0,178.0,154.0,228.0,58.0,0.0,0.0,0.0,0.0,0.0
101221,Carina Amundsen,Bygdø,Bygdø,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101229,Line Johnstad,Hamar,Hamar,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101262,Hege Leirud,Frogner,Frogner,276.0,0.0,276.0,214.0,113.0,0.0,24.0,0.0,171.0,68.0,0.0
101269,Hilde Mari Furnes,Djerv,Djerv,35.0,0.0,59.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
101285,Randi Selle,Stavanger,Stavanger,372.0,388.0,192.0,64.0,357.0,468.0,408.0,0.0,210.0,648.0,432.0
101294,Sonja Wåland,Kristiansand,Kristiansand,248.0,0.0,56.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101308,Marit Lillelien,Asker,Asker,148.0,232.0,160.0,145.0,56.0,9.0,6.0,0.0,0.0,0.0,0.0
101342,Runa Korshavn,Trondheim,Trondheim,42.0,134.0,0.0,18.0,48.0,18.0,44.0,0.0,21.0,60.0,118.0
101427,Aina Moum,Grong,Grong,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101495,Dao Huynh,Asker,Asker,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101508,Ina Helland,Tromsø,Tromsø,142.0,108.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101610,Lotte Moe,Herøy,Herøy,6.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0
101771,Eirin Næss Korshavn,NTNUI,NTNUI,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101788,Therese Meland,Haugesund,Haugesund,40.0,34.0,32.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0
101928,Christina svendsen,Båtsfjord,Båtsfjord,28.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101929,Ida Theres Johansen,Båtsfjord,Båtsfjord,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102033,Charlotte Leinan,Kristiansand,Kristiansand,166.0,304.0,136.0,96.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
102056,Hege Malene Ulstein,Vestre Aker,Vestre Aker,360.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102063,Toril Elise Ulvang,Bergen,Bergen,97.0,84.0,0.0,26.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0
102066,Ingunn Vie Skare,Bergen,Bergen,14.0,23.0,64.0,52.0,0.0,23.0,3.0,0.0,0.0,3.0,3.0
102092,Sunniva Sørensen,Orkanger,Orkanger,36.0,14.0,20.0,48.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0
102142,Sara Hvidsten,Vestre Aker|Grimstad,Vestre Aker,114.0,60.0,170.0,140.0,144.0,42.0,0.0,0.0,26.0,146.0,117.0
102163,Anja Olsen,Frogner|Bærum,Bærum,59.0,58.0,0.0,90.0,58.0,20.0,25.0,0.0,2.0,19.0,0.0
102181,Liv Kristiane Bugge,Bergen,Bergen,11.0,17.0,41.0,6.0,0.0,31.0,7.0,0.0,1.0,0.0,0.0
102182,Ulla Faarup,Bærum,Bærum,20.0,57.0,32.0,62.0,8.0,14.0,0.0,0.0,10.0,0.0,0.0
102213,Synnøve Sirhaug,Sotra,Sotra,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102236,Trude Gystad,Nesna,Nesna,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102269,Linn Lilian Stenrud,Ullevål,Ullevål,380.0,744.0,1088.0,61.0,0.0,129.0,10.0,0.0,2.0,0.0,0.0
102271,Trine Wåland,Kristiansand,Kristiansand,98.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
102274,Thea Johansen,Nøtterøy,Nøtterøy,784.0,912.0,508.0,804.0,949.0,356.0,148.0,0.0,62.0,0.0,0.0
102275,Natalie Kristensen,Moss,Moss,452.0,65.0,9.0,0.0,128.0,0.0,0.0,0.0,0.0,9.0,0.0
102316,Erle Skånøy,Rissa,Rissa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102364,Kristin Aven,Stavanger,Stavanger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102393,Amanda Niederbach,Haugerud,Haugerud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102422,Solvår S Flåten Jørgensen,Moss,Moss,92.0,0.0,52.0,64.0,0.0,0.0,9.0,0.0,2.0,332.0,18.0
102451,Marie Fiskum,Grong,Grong,124.0,76.0,108.0,0.0,28.0,8.0,8.0,0.0,2.0,40.0,0.0
102463,Vilde Espeseth,Kristiansand,Kristiansand,316.0,984.0,1664.0,1904.0,1124.0,457.0,676.0,592.0,1021.0,945.0,592.0
102464,Ingelin Espeseth,Kristiansand,Kristiansand,46.0,18.0,216.0,0.0,0.0,100.0,110.0,0.0,23.0,0.0,0.0
102465,Guro Olsen,Mehamn,Mehamn,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
