Spiller-Id,Navn,All Clubs,Current Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
100365,Preben S. Johannessen,Sandefjord,Sandefjord,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100390,Øystein Larsen,Kristiansand,Kristiansand,177.0,112.0,96.0,148.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100406,Jan Petter Lindland,Mandal,Mandal,72.0,92.0,44.0,24.0,0.0,30.0,51.0,0.0,72.0,48.0,0.0,44.0
100409,Tom Christian Martinsen,Sandefjord,Sandefjord,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100411,Magnus Christensen,Frogner,Frogner,976.0,520.0,704.0,240.0,0.0,0.0,0.0,0.0,72.0,52.0,225.0,37.0
100413,Jørn Lund,Moss,Moss,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100415,Odd Magne Lund,Grong,Grong,10.0,0.0,1.0,10.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
100423,Runar Rygh Løkken,Fron,Fron,8.0,10.0,18.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,12.0,12.0
100424,Steinar Løkken,Fron,Fron,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
100435,Marius Berg,Mehamn,Mehamn,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100439,Christoffer Hveding,Hammerfest|Mehamn,Hammerfest,64.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,48.0
100447,Kim-Andre Moen,Moss|Fredrikstad BK,Fredrikstad BK,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100456,Joakim Harring,Imås IL|Grimstad,Imås IL,12.0,8.0,2.0,42.0,82.0,50.0,90.0,0.0,70.0,40.0,90.0,20.0
100462,Joachim Røynås,Grimstad,Grimstad,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100471,Nauman Majid,Kristiansand|Haugerud,Haugerud,90.0,116.0,144.0,126.0,164.0,176.0,100.0,24.0,117.0,158.0,6.0,194.0
100475,Torfinn Nesset,Grimstad,Grimstad,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100476,Jan Frode Neverdal,Grimstad,Grimstad,252.0,215.0,152.0,166.0,162.0,136.0,46.0,0.0,57.0,74.0,122.0,114.0
100483,Fredrik Jonsson Ruud,NTNUI,NTNUI,122.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100487,Ole Jacob Nilsen,Hamar,Hamar,4.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
100488,Håkon Jonsson Ruud,NTNUI,NTNUI,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100513,Tommy H. Abrahamsen,Grimstad,Grimstad,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100528,Espen Hamstad,Leksvik,Leksvik,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100530,Eirik Brevik,NTNUI,NTNUI,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100534,Robin Kruksve Krux,Rissa|Trondheim|Leksvik,Trondheim,36.0,92.0,96.0,106.0,81.0,10.0,15.0,0.0,7.0,7.0,27.0,13.0
100540,Pål Endre Pedersen,Vestre Aker|Haugerud,Haugerud,280.0,220.0,301.0,272.0,208.0,244.0,258.0,34.0,92.0,86.0,138.0,182.0
100546,Johannes Arnhoff Hagen,Strømmen|Frogner|Pillarguri,Strømmen,902.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
100547,Stian Prestø,Herøy,Herøy,54.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
100549,Morten Rabben,Flatås|Trondheim,Flatås,44.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,70.0
100551,Arild Rasmussen,Askøy,Askøy,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100562,Rene Rist,Bergen,Bergen,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100594,Kent Roger Sandvær,Herøy,Herøy,24.0,14.0,2.0,21.0,86.0,6.0,28.0,0.0,7.0,0.0,0.0,0.0
100597,Arve Sellesbakk,Klæbu,Klæbu,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100602,Erik Sjølshagen,Frogner|Haugerud,Frogner,7.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100612,Anne Skien,Ullevål,Ullevål,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
